rating,userID,productID,userIDIndex,productIDIndex
5.0,AOPYVEXALWQO5,B00004Z2HY,6288.0,2649.0
5.0,A2SXLPB7V1QHJV,B00006U0KV,8619.0,2652.0
5.0,AGQ03OZ9WJF18,B0000CBIFC,1823.0,345.0
5.0,A22PSUTU55Z3GS,B0000DD23N,870.0,878.0
5.0,A3W152L0OZZER6,B0000DH4JZ,2541.0,1021.0
5.0,A16UH6DKNNQX9Z,B0000DH8I8,6716.0,93.0
5.0,A3S7NA191W6RKG,B00020JO9Q,9807.0,3061.0
3.0,AA8OFD5RD2C2K,B0002Q8TP0,3878.0,679.0
4.0,A3RZ5EJ175NEQC,B0002T6L5M,9797.0,148.0
4.0,A31D95FNI0350P,B0002UEPVI,549.0,118.0
4.0,A1O3FYVHHWC8CJ,B0002YUNRE,177.0,373.0
5.0,AFOX6IY3GBV6O,B0002YUNRE,10351.0,373.0
3.0,A25R228KY5315Q,B0006IX85K,4845.0,15.0
5.0,A4OX3B6UWWL0J,B0006IX85K,5934.0,15.0
5.0,A1RRIHGTC8AKSG,B0006O1ICE,7432.0,12.0
5.0,AY85056SI7G9R,B0006O1ICE,477.0,12.0
5.0,A3RZMMN1B737NO,B0006O1ICE,571.0,12.0
5.0,A2SXXEWA2BMR4H,B0006O1ICE,8620.0,12.0
5.0,A8W80QZHTU2FA,B000796XXM,10112.0,457.0
5.0,A35X889SAYC8HG,B0009F86SE,1684.0,1024.0
5.0,A17FXD8S4QDXNQ,B000B4GU90,6729.0,1799.0
5.0,A2QLAZJQ85TCPT,B000BD69Y2,2300.0,1473.0
5.0,ASPRENFTOYHO0,B000BO59M4,6363.0,1126.0
5.0,A362ZCUZ2TNAHP,B000BPIM5O,5469.0,254.0
5.0,A3UOM0RUVO5JH9,B000BQ85NC,9898.0,633.0
5.0,A16VNFPTF9Z4YK,B000BQKDPA,1936.0,200.0
5.0,A1JBP9R0PA5DW3,B000BQMQKU,2933.0,1329.0
5.0,A3FJLXYOI6OENJ,B000BQN7K8,3636.0,2330.0
4.0,A3DOVV4QK9GBPD,B000BQO5F4,5597.0,2036.0
5.0,A3ULJ3ABLZ60L8,B000BT32UA,9894.0,256.0
5.0,A31NUXQ8X8AKHU,B000BVZBS4,1663.0,1330.0
5.0,A1T0K8B5P1B07D,B000BVZBRU,322.0,278.0
5.0,A2M9DSJA7OH35H,B000EJUBBU,5149.0,3.0
4.0,A1AUM41UGDYKLC,B000EJUBBU,6849.0,3.0
5.0,A1XKW898EBHMHM,B000FED5E4,4685.0,1623.0
3.0,A3O00BUEBIFVAR,B000FP83PE,1286.0,529.0
5.0,A1UIFSVVH36QLA,B000FPAN2K,7511.0,21.0
5.0,A3LMQNWBDSD2SI,B000H9JG7C,3702.0,83.0
5.0,A1C4X673B9W5UW,B000H9JG7C,4298.0,83.0
5.0,A2CSZUTOGVQ2SO,B000H9JGFE,3247.0,84.0
5.0,A11KD38OSDMZPA,B000H9L3NW,4135.0,85.0
5.0,AIK5T2ER1ROJ2,B000H9L3NW,2640.0,85.0
5.0,A2O2NC3ROFT5MS,B000H9LIIW,907.0,258.0
5.0,AZD8HMIX0GI3H,B000HE5DUG,6483.0,594.0
3.0,A1ROCGU2YILTNX,B000I1EHK0,7429.0,393.0
3.0,A1G6A15N13TKA3,B00002246J,2900.0,1117.0
